DATE,JPNCPIALLMINMEI,JPNPROINDMISMEI,INTDSRJPM193N
1980-09-01,75.9480783914482,70.163560161186,8.25
1980-10-01,76.1516925426317,70.584205006277,8.25
1980-11-01,76.2534996182235,69.6587863470768,7.25
1980-12-01,76.04988546704,70.6683339752952,7.25
1981-01-01,76.864342071774,70.7524629443135,7.25
1981-02-01,76.7625349961822,70.5000760372588,7.25
1981-03-01,76.9661491473657,70.7524629443135,6.25
1981-04-01,77.5769916009163,70.7524629443135,6.25
1981-05-01,78.2896411300586,69.6587863470768,6.25
1981-06-01,78.3914482056503,71.4254946964591,6.25
1981-07-01,78.1878340544668,72.0143974795866,6.25
1981-08-01,77.8824128276915,71.762010572532,6.25
1981-09-01,79.0022906592008,72.9398161387869,6.25
1981-10-01,79.3077118859761,73.3604609838779,6.25
1981-11-01,79.2059048103843,73.3604609838779,6.25
1981-12-01,79.3077118859761,73.1080740768233,5.5
1982-01-01,79.3077118859761,72.6874292317323,5.5
1982-02-01,79.2059048103843,72.182655417623,5.5
1982-03-01,79.3077118859761,72.9398161387869,5.5
1982-04-01,79.9185543395266,71.9302685105684,5.5
1982-05-01,80.2239755663019,71.2572367584227,5.5
1982-06-01,80.2239755663019,72.182655417623,5.5
1982-07-01,79.7149401883431,72.0143974795866,5.5
1982-08-01,80.3257826418936,72.0985264486048,5.5
1982-09-01,81.5474675489946,72.4350423246776,5.5
1982-10-01,81.7510817001782,70.3318180992224,5.5
1982-11-01,81.0384321710359,72.0985264486048,5.5
1982-12-01,80.9366250954441,71.3413657274409,5.5
1983-01-01,81.0384321710359,71.9302685105684,5.5
1983-02-01,80.7330109442606,71.6778816035138,5.5
1983-03-01,81.1402392466276,72.6874292317323,5.5
1983-04-01,81.5474675489946,72.6874292317323,5.5
1983-05-01,82.3619241537287,73.0239451078051,5.5
1983-06-01,81.8528887757699,73.781105828969,5.5
1983-07-01,81.5474675489946,73.5287189219144,5.5
1983-08-01,81.3438533978112,75.2112983022785,5.5
1983-09-01,82.2601170781369,76.220845930497,5.5
1983-10-01,82.9727666072792,75.8843300544242,5
1983-11-01,82.5655383049122,76.6414907755881,5
1983-12-01,82.2601170781369,77.6510384038066,5
1984-01-01,82.5655383049122,78.239941186934,5
1984-02-01,83.074573682871,80.1749074743528,5
1984-03-01,83.1763807584627,79.5018757222072,5
1984-04-01,83.3799949096462,79.2494888151526,5
1984-05-01,83.9908373631968,80.6796812884621,5
1984-06-01,83.3799949096462,81.1844551025714,5
1984-07-01,83.5836090608297,81.1844551025714,5
1984-08-01,82.8709595316875,82.3622606688263,5
1984-09-01,84.1944515143803,81.1844551025714,5
1984-10-01,84.703486892339,83.5400662350812,5
1984-11-01,84.296258589972,83.5400662350812,5
1984-12-01,84.4998727411555,83.0352924209719,5
1985-01-01,84.703486892339,83.876582111154,5
1985-02-01,84.3980656655638,83.6241952040994,5
1985-03-01,84.703486892339,82.9511634519537,5
1985-04-01,85.3143293458895,84.2972269562451,5
1985-05-01,85.4161364214813,85.1385166464272,5
1985-06-01,85.4161364214813,83.7924531421358,5
1985-07-01,85.6197505726648,85.054387677409,5
1985-08-01,85.4161364214813,84.2972269562451,5
1985-09-01,85.517943497073,83.6241952040994,5
1985-10-01,86.3324001018071,84.4654848942815,5
1985-11-01,85.6197505726648,84.2972269562451,5
1985-12-01,85.7215576482566,84.2972269562451,5
1986-01-01,86.0269788750318,84.1289690182086,4.5
1986-02-01,85.9251717994401,84.1289690182086,4.5
1986-03-01,85.8233647238483,84.0448400491904,4
1986-04-01,86.1287859506236,84.0448400491904,3.5
1986-05-01,86.3324001018071,84.0448400491904,3.5
1986-06-01,85.9251717994401,84.2972269562451,3.5
1986-07-01,85.7215576482566,84.2972269562451,3.5
1986-08-01,85.517943497073,82.2781316998081,3.5
1986-09-01,85.9251717994401,85.054387677409,3.5
1986-10-01,86.0269788750318,83.9607110801722,3.5
1986-11-01,85.6197505726648,82.7829055139173,3
1986-12-01,85.4161364214813,84.7178718013361,3
1987-01-01,85.110715194706,84.4654848942815,3
1987-02-01,85.110715194706,84.0448400491904,2.5
1987-03-01,85.4161364214813,85.3067745844636,2.5
1987-04-01,86.2305930262153,84.6337428323179,2.5
1987-05-01,86.3324001018071,83.2876793280266,2.5
1987-06-01,86.2305930262153,86.4004511817003,2.5
1987-07-01,85.8233647238483,87.1576119028642,2.5
1987-08-01,85.8233647238483,87.1576119028642,2.5
1987-09-01,86.6378213285824,88.5036754071555,2.5
1987-10-01,86.6378213285824,89.933867880465,2.5
1987-11-01,86.2305930262153,90.2703837565379,2.5
1987-12-01,86.1287859506236,91.2799313847564,2.5
1988-01-01,85.8233647238483,91.5734127200929,2.5
1988-02-01,85.7215576482566,94.51430858818,2.5
1988-03-01,86.0269788750318,92.6889249459191,2.5
1988-04-01,86.4342071773988,94.9199493975714,2.5
1988-05-01,86.5360142529906,93.9058473740931,2.5
1988-06-01,86.3324001018071,94.2100779811366,2.5
1988-07-01,86.2305930262153,94.6157187905279,2.5
1988-08-01,86.4342071773988,95.122769802267,2.5
1988-09-01,87.1468567065411,96.6439228374846,2.5
1988-10-01,87.5540850089081,95.3255902069627,2.5
1988-11-01,87.2486637821329,97.3537942539194,2.5
1988-12-01,86.9432425553576,98.0636656703542,2.5
1989-01-01,86.8414354797658,98.8749472891369,2.5
1989-02-01,86.5360142529906,98.2664860750499,2.5
1989-03-01,86.9432425553576,101.815843157224,2.5
1989-04-01,88.4703486892339,100.193279919659,2.5
1989-05-01,88.9793840671927,100.294690122007,3.25
1989-06-01,88.9793840671927,101.51161255018,3.25
1989-07-01,88.7757699160092,99.381998300876,3.25
1989-08-01,88.6739628404174,101.105971740789,3.25
1989-09-01,89.4884194451514,100.801741133746,3.25
1989-10-01,90.099261898702,100.193279919659,3.75
1989-11-01,89.1829982183762,100.903151336094,3.75
1989-12-01,89.2848052939679,101.51161255018,4.25
1990-01-01,89.692033596335,100.903151336094,4.25
1990-02-01,89.7938406719267,101.410202347833,4.25
1990-03-01,90.099261898702,103.235585990094,5.25
1990-04-01,90.913718503436,103.438406394789,5.25
1990-05-01,91.320946805803,104.148277811224,5.25
1990-06-01,91.0155255790278,104.452508418268,5.25
1990-07-01,90.8119114278442,105.365200239398,5.25
1990-08-01,91.1173326546195,106.277892060529,6
1990-09-01,91.8299821837618,105.365200239398,6
1990-10-01,92.8480529396793,107.494814488703,6
1990-11-01,92.7462458640876,106.784943072268,6
1990-12-01,92.6444387884958,106.886353274616,6
1991-01-01,93.2552812420463,107.59622469105,6
1991-02-01,92.9498600152711,108.001865500442,6
1991-03-01,93.4588953932298,106.987763476963,6
1991-04-01,93.9679307711886,107.393404286355,6
1991-05-01,94.4769661491474,108.508916512181,6
1991-06-01,94.0697378467804,105.365200239398,6
1991-07-01,93.9679307711886,107.697634893398,5.5
1991-08-01,94.1715449223721,105.973661453485,5.5
1991-09-01,94.3751590735556,106.075071655833,5.5
1991-10-01,95.3932298294732,105.365200239398,5.5
1991-11-01,95.4950369050649,106.075071655833,5
1991-12-01,95.0878086026979,104.655328822963,4.5
1992-01-01,94.8841944515144,103.945457406528,4.5
1992-02-01,94.7823873759226,103.641226799485,4.5
1992-03-01,95.2914227538814,102.120073764268,4.5
1992-04-01,96.3094935097989,101.613022752528,3.75
1992-05-01,96.3094935097989,99.2805880985282,3.75
1992-06-01,96.3094935097989,101.308792145485,3.75
1992-07-01,95.4950369050649,101.105971740789,3.25
1992-08-01,95.8004581318402,98.165075872702,3.25
1992-09-01,96.3094935097989,101.917253359572,3.25
1992-10-01,96.3094935097989,98.773537086789,3.25
1992-11-01,96.2076864342072,97.556614658615,3.25
1992-12-01,96.2076864342072,97.1509738492237,3.25
1993-01-01,96.1058793586154,99.1791778961804,3.25
1993-02-01,96.2076864342072,99.381998300876,2.5
1993-03-01,96.4113005853907,96.0354616233976,2.5
1993-04-01,97.123950114533,97.8608452656585,2.5
1993-05-01,97.123950114533,99.1791778961804,2.5
1993-06-01,97.123950114533,97.3537942539194,2.5
1993-07-01,97.3275642657165,97.2523840515716,2.5
1993-08-01,97.6329854924917,96.339692230441,2.5
1993-09-01,97.7347925680835,96.6439228374846,1.75
1993-10-01,97.6329854924917,95.8326412187019,1.75
1993-11-01,97.123950114533,95.6298208140062,1.75
1993-12-01,97.123950114533,94.9199493975714,1.75
